Date,Time,Weekday_Name,Volume,Open,High,Low,Close
1/2/22,22:00:00,Sunday,2933,1.13725,1.13795,1.135,1.13588
1/3/22,2:00:00,Monday,2947,1.13587,1.13588,1.13361,1.1338
1/3/22,6:00:00,Monday,9165,1.13381,1.13565,1.1335,1.13518
1/3/22,10:00:00,Monday,12894,1.13516,1.13664,1.1346,1.13508
1/3/22,14:00:00,Monday,21318,1.13507,1.13519,1.12798,1.12838
1/3/22,18:00:00,Monday,4694,1.1284,1.13005,1.12834,1.12974
1/3/22,22:00:00,Monday,2616,1.12965,1.1309,1.12944,1.13066
1/4/22,2:00:00,Tuesday,4266,1.13066,1.13094,1.12954,1.13048
1/4/22,6:00:00,Tuesday,12321,1.13047,1.13083,1.12834,1.13022
1/4/22,10:00:00,Tuesday,16946,1.1302,1.13056,1.12724,1.12802
1/4/22,14:00:00,Tuesday,21313,1.12803,1.13226,1.12776,1.12938
1/4/22,18:00:00,Tuesday,5412,1.1294,1.12944,1.1278,1.12864
1/4/22,22:00:00,Tuesday,2629,1.12863,1.12886,1.12772,1.12858
1/5/22,2:00:00,Wednesday,3295,1.12856,1.12968,1.12852,1.12938
1/5/22,6:00:00,Wednesday,11249,1.12936,1.1311,1.12929,1.13064
1/5/22,10:00:00,Wednesday,18486,1.13062,1.13288,1.13032,1.13238
1/5/22,14:00:00,Wednesday,17242,1.1324,1.13465,1.13212,1.13414
1/5/22,18:00:00,Wednesday,13316,1.13412,1.13447,1.13022,1.13129
1/5/22,22:00:00,Wednesday,2921,1.1313,1.13188,1.1305,1.13168
1/6/22,2:00:00,Thursday,4818,1.13169,1.13205,1.13071,1.13092
1/6/22,6:00:00,Thursday,13075,1.1309,1.13094,1.12846,1.13054
1/6/22,10:00:00,Thursday,18036,1.13052,1.13269,1.13022,1.13122
1/6/22,14:00:00,Thursday,23510,1.13124,1.13318,1.12902,1.12958
1/6/22,18:00:00,Thursday,5526,1.12958,1.13,1.12862,1.12984
1/6/22,22:00:00,Thursday,2428,1.12967,1.13008,1.129,1.13008
1/7/22,2:00:00,Friday,2414,1.13006,1.13034,1.12954,1.13023
1/7/22,6:00:00,Friday,8348,1.13025,1.13176,1.12983,1.1315
1/7/22,10:00:00,Friday,18909,1.13152,1.13227,1.12925,1.13016
1/7/22,14:00:00,Friday,24476,1.13018,1.13588,1.1299,1.13567
1/7/22,18:00:00,Friday,3796,1.13568,1.13648,1.1355,1.13616
1/9/22,22:00:00,Sunday,2733,1.13598,1.1361,1.13496,1.13502
1/10/22,2:00:00,Monday,2641,1.13504,1.1352,1.13321,1.13349
1/10/22,6:00:00,Monday,12137,1.1335,1.13446,1.13208,1.13266
1/10/22,10:00:00,Monday,19551,1.13265,1.13363,1.1295,1.12971
1/10/22,14:00:00,Monday,22594,1.12972,1.13348,1.1285,1.13287
1/10/22,18:00:00,Monday,7699,1.13286,1.13312,1.13202,1.1328
1/10/22,22:00:00,Monday,2896,1.13268,1.13417,1.1322,1.13365
1/11/22,2:00:00,Tuesday,3301,1.13364,1.13443,1.13346,1.1339
1/11/22,6:00:00,Tuesday,11071,1.13391,1.1352,1.13288,1.13334
1/11/22,10:00:00,Tuesday,13549,1.13333,1.13438,1.13234,1.1326
1/11/22,14:00:00,Tuesday,19458,1.13259,1.13687,1.1313,1.13543
1/11/22,18:00:00,Tuesday,6209,1.13541,1.13755,1.13522,1.13693
1/11/22,22:00:00,Tuesday,2300,1.13702,1.13736,1.13642,1.137
1/12/22,2:00:00,Wednesday,2849,1.137,1.13782,1.1368,1.13732
1/12/22,6:00:00,Wednesday,8624,1.13734,1.13752,1.13551,1.13672
1/12/22,10:00:00,Wednesday,19640,1.13671,1.14152,1.13548,1.141
1/12/22,14:00:00,Wednesday,24899,1.14101,1.14454,1.13946,1.1444
1/12/22,18:00:00,Wednesday,7173,1.14438,1.14528,1.14383,1.14409
1/12/22,22:00:00,Wednesday,2954,1.14416,1.14483,1.14358,1.14392
1/13/22,2:00:00,Thursday,2808,1.14394,1.14474,1.14358,1.14412
1/13/22,6:00:00,Thursday,12404,1.14413,1.14784,1.14384,1.14714
1/13/22,10:00:00,Thursday,16581,1.14714,1.14776,1.14532,1.1472
1/13/22,14:00:00,Thursday,21396,1.14722,1.14818,1.14472,1.14614
1/13/22,18:00:00,Thursday,8246,1.14616,1.14664,1.1451,1.14541
1/13/22,22:00:00,Thursday,4109,1.14561,1.14682,1.14514,1.14662
1/14/22,2:00:00,Friday,5276,1.1466,1.14827,1.14626,1.14789
1/14/22,6:00:00,Friday,12248,1.1479,1.14806,1.14572,1.14582
1/14/22,10:00:00,Friday,16881,1.1458,1.14611,1.14334,1.14382
1/14/22,14:00:00,Friday,27211,1.1438,1.145,1.13985,1.14022
1/14/22,18:00:00,Friday,6309,1.14022,1.14178,1.14014,1.14154
1/16/22,22:00:00,Sunday,3778,1.1416,1.14186,1.14002,1.14049
1/17/22,2:00:00,Monday,2857,1.1405,1.14226,1.14038,1.1419
1/17/22,6:00:00,Monday,7555,1.14192,1.14344,1.14118,1.14238
1/17/22,10:00:00,Monday,12037,1.14236,1.14266,1.13918,1.14016
1/17/22,14:00:00,Monday,11720,1.14016,1.14159,1.13954,1.14118
1/17/22,18:00:00,Monday,954,1.1412,1.14135,1.14048,1.14064
1/17/22,22:00:00,Monday,2648,1.14105,1.14208,1.14055,1.1419
1/18/22,2:00:00,Tuesday,9318,1.14191,1.14216,1.13852,1.1397
1/18/22,6:00:00,Tuesday,18092,1.13969,1.14059,1.1386,1.1395
1/18/22,10:00:00,Tuesday,17636,1.13951,1.13996,1.1363,1.13784
1/18/22,14:00:00,Tuesday,24099,1.13782,1.13788,1.13204,1.13227
1/18/22,18:00:00,Tuesday,8741,1.13226,1.13348,1.13147,1.13277
1/18/22,22:00:00,Tuesday,3895,1.13235,1.13306,1.13188,1.13223
1/19/22,2:00:00,Wednesday,5454,1.13225,1.13336,1.13201,1.133
1/19/22,6:00:00,Wednesday,13510,1.13302,1.13483,1.1327,1.134
1/19/22,10:00:00,Wednesday,14452,1.13398,1.13508,1.13332,1.1344
1/19/22,14:00:00,Wednesday,20983,1.13442,1.13572,1.1336,1.1344
1/19/22,18:00:00,Wednesday,5649,1.1344,1.13548,1.13417,1.13422
1/19/22,22:00:00,Wednesday,4208,1.13428,1.13654,1.13404,1.136
1/20/22,2:00:00,Thursday,5710,1.13602,1.13611,1.13454,1.13498
1/20/22,6:00:00,Thursday,10699,1.13496,1.1369,1.13434,1.13476
1/20/22,10:00:00,Thursday,15931,1.13475,1.1358,1.13312,1.13518
1/20/22,14:00:00,Thursday,19982,1.13516,1.13578,1.13264,1.13272
1/20/22,18:00:00,Thursday,7659,1.13274,1.13294,1.13032,1.131
1/20/22,22:00:00,Thursday,4848,1.13127,1.13178,1.1301,1.13172
1/21/22,2:00:00,Friday,6249,1.13173,1.1335,1.13158,1.13253
1/21/22,6:00:00,Friday,14196,1.13252,1.13454,1.13227,1.13393
1/21/22,10:00:00,Friday,12779,1.13392,1.13518,1.13256,1.13502
1/21/22,14:00:00,Friday,19261,1.13503,1.13599,1.13371,1.13456
1/21/22,18:00:00,Friday,5323,1.13454,1.13492,1.13384,1.13444
1/23/22,22:00:00,Sunday,3153,1.13434,1.13466,1.13327,1.13371
1/24/22,2:00:00,Monday,3762,1.13372,1.13378,1.13169,1.13183
1/24/22,6:00:00,Monday,14143,1.13182,1.13364,1.13098,1.13253
1/24/22,10:00:00,Monday,18899,1.13252,1.13282,1.12946,1.12958
1/24/22,14:00:00,Monday,26786,1.12956,1.13295,1.12904,1.1328
1/24/22,18:00:00,Monday,10690,1.1328,1.13352,1.13178,1.13242
1/24/22,22:00:00,Monday,3343,1.13268,1.13292,1.13164,1.13168
1/25/22,2:00:00,Tuesday,3856,1.13171,1.13186,1.13082,1.13099
1/25/22,6:00:00,Tuesday,14441,1.13098,1.13158,1.12844,1.12878
1/25/22,10:00:00,Tuesday,16323,1.12876,1.1291,1.12664,1.12756
1/25/22,14:00:00,Tuesday,20266,1.12758,1.12891,1.12632,1.12878
1/25/22,18:00:00,Tuesday,7952,1.12879,1.13071,1.12864,1.13016
1/25/22,22:00:00,Tuesday,2093,1.1301,1.13059,1.12948,1.13054
1/26/22,2:00:00,Wednesday,3318,1.13056,1.13108,1.13007,1.13045
1/26/22,6:00:00,Wednesday,10557,1.13046,1.13053,1.12833,1.12869
1/26/22,10:00:00,Wednesday,12757,1.12868,1.12882,1.12716,1.12824
1/26/22,14:00:00,Wednesday,17643,1.12826,1.12965,1.1274,1.1288
1/26/22,18:00:00,Wednesday,31279,1.12881,1.13015,1.12353,1.1241
1/26/22,22:00:00,Wednesday,4776,1.12418,1.12434,1.12305,1.12329
1/27/22,2:00:00,Thursday,5600,1.12328,1.12335,1.12155,1.122
1/27/22,6:00:00,Thursday,15947,1.12199,1.12216,1.11929,1.11964
1/27/22,10:00:00,Thursday,24020,1.11962,1.1201,1.1135,1.11494
1/27/22,14:00:00,Thursday,25435,1.11492,1.11622,1.11316,1.11392
1/27/22,18:00:00,Thursday,7369,1.1139,1.11494,1.11356,1.11441
1/27/22,22:00:00,Thursday,3598,1.11473,1.11484,1.1138,1.11474
1/28/22,2:00:00,Friday,3914,1.11473,1.11559,1.11465,1.11543
1/28/22,6:00:00,Friday,16713,1.11542,1.11549,1.11214,1.11327
1/28/22,10:00:00,Friday,25442,1.11326,1.11689,1.11256,1.11686
1/28/22,14:00:00,Friday,28218,1.11688,1.11738,1.11382,1.11512
1/28/22,18:00:00,Friday,6469,1.11514,1.11562,1.11412,1.11492
1/30/22,22:00:00,Sunday,4119,1.11453,1.1158,1.11382,1.11579
1/31/22,2:00:00,Monday,4113,1.11577,1.1166,1.11546,1.1165
1/31/22,6:00:00,Monday,12368,1.1165,1.11824,1.11606,1.11749
1/31/22,10:00:00,Monday,19714,1.11748,1.11938,1.11462,1.11932
1/31/22,14:00:00,Monday,28215,1.11931,1.12198,1.11834,1.12192
1/31/22,18:00:00,Monday,8417,1.12192,1.12478,1.12184,1.1233
1/31/22,22:00:00,Monday,2708,1.12357,1.12357,1.1221,1.12264
2/1/22,2:00:00,Tuesday,4205,1.12266,1.12453,1.12256,1.12402
2/1/22,6:00:00,Tuesday,14036,1.12404,1.12696,1.12344,1.12612
2/1/22,10:00:00,Tuesday,15290,1.12614,1.12789,1.12534,1.12658
2/1/22,14:00:00,Tuesday,22812,1.12658,1.12744,1.12344,1.1245
2/1/22,18:00:00,Tuesday,6494,1.1245,1.12738,1.12431,1.12736
2/1/22,22:00:00,Tuesday,2034,1.12712,1.12769,1.12684,1.12766
2/2/22,2:00:00,Wednesday,2591,1.12764,1.12782,1.12707,1.12732
2/2/22,6:00:00,Wednesday,11914,1.1273,1.12945,1.12668,1.12933
2/2/22,10:00:00,Wednesday,17534,1.12934,1.13304,1.129,1.13114
2/2/22,14:00:00,Wednesday,17366,1.13115,1.13213,1.12926,1.13113
2/2/22,18:00:00,Wednesday,4449,1.13112,1.13144,1.13022,1.13055
2/2/22,22:00:00,Wednesday,2032,1.13059,1.13065,1.12932,1.13002
2/3/22,2:00:00,Thursday,2623,1.13001,1.13083,1.12947,1.13006
2/3/22,6:00:00,Thursday,11054,1.13008,1.13026,1.1284,1.12844
2/3/22,10:00:00,Thursday,32688,1.12842,1.13642,1.12672,1.13641
2/3/22,14:00:00,Thursday,44798,1.13644,1.14514,1.13624,1.14439
2/3/22,18:00:00,Thursday,8492,1.1444,1.14498,1.14261,1.14392
2/3/22,22:00:00,Thursday,3925,1.14382,1.14542,1.1432,1.1452
2/4/22,2:00:00,Friday,5945,1.14522,1.1472,1.14489,1.14601
2/4/22,6:00:00,Friday,16886,1.14602,1.14688,1.144,1.14632
2/4/22,10:00:00,Friday,29167,1.14634,1.14839,1.14218,1.14362
2/4/22,14:00:00,Friday,31250,1.14364,1.14626,1.14116,1.14544
2/4/22,18:00:00,Friday,5886,1.14547,1.14642,1.14475,1.14516
2/6/22,22:00:00,Sunday,3747,1.14615,1.14639,1.14396,1.14413
2/7/22,2:00:00,Monday,4648,1.14415,1.14426,1.14248,1.14306
2/7/22,6:00:00,Monday,14156,1.14308,1.14494,1.14153,1.14235
2/7/22,10:00:00,Monday,18574,1.14236,1.14588,1.14163,1.14398
2/7/22,14:00:00,Monday,22268,1.14397,1.14514,1.14174,1.14187
2/7/22,18:00:00,Monday,4303,1.14186,1.14439,1.14173,1.14416
2/7/22,22:00:00,Monday,3084,1.14416,1.14488,1.14333,1.14358
2/8/22,2:00:00,Tuesday,4206,1.14358,1.14359,1.14154,1.14172
